time_iso8601,forks_cumulative
2025-01-25 00:00:00+00:00,792
2025-01-27 00:00:00+00:00,793
2025-01-31 00:00:00+00:00,794
2025-02-01 00:00:00+00:00,795
2025-02-03 00:00:00+00:00,796
2025-02-06 00:00:00+00:00,797
2025-02-07 00:00:00+00:00,798
2025-02-09 00:00:00+00:00,799
2025-02-11 00:00:00+00:00,800
2025-02-13 00:00:00+00:00,801
2025-02-15 00:00:00+00:00,802
2025-02-16 00:00:00+00:00,804
2025-02-20 00:00:00+00:00,805
2025-02-21 00:00:00+00:00,806
2025-02-25 00:00:00+00:00,807
2025-02-26 00:00:00+00:00,808
2025-02-27 00:00:00+00:00,809
2025-03-03 00:00:00+00:00,810
2025-03-04 00:00:00+00:00,812
2025-03-06 00:00:00+00:00,814
2025-03-07 00:00:00+00:00,815
2025-03-11 00:00:00+00:00,816
2025-03-13 00:00:00+00:00,817
2025-03-16 00:00:00+00:00,818
2025-03-17 00:00:00+00:00,819
2025-03-18 00:00:00+00:00,820
2025-03-19 00:00:00+00:00,821
2025-03-21 00:00:00+00:00,824
2025-03-22 00:00:00+00:00,826
2025-03-24 00:00:00+00:00,827
2025-03-26 00:00:00+00:00,828
2025-04-04 00:00:00+00:00,830
2025-04-05 00:00:00+00:00,831
2025-04-08 00:00:00+00:00,832
2025-04-10 00:00:00+00:00,833
2025-04-12 00:00:00+00:00,834
2025-04-15 00:00:00+00:00,835
2025-04-16 00:00:00+00:00,837
2025-04-19 00:00:00+00:00,838
2025-04-21 00:00:00+00:00,839
2025-04-22 00:00:00+00:00,841
2025-04-26 00:00:00+00:00,843
2025-04-27 00:00:00+00:00,844
2025-04-29 00:00:00+00:00,845
2025-05-06 00:00:00+00:00,846
2025-05-08 00:00:00+00:00,847
2025-05-11 00:00:00+00:00,849
2025-05-14 00:00:00+00:00,851
2025-05-19 00:00:00+00:00,852
2025-05-21 00:00:00+00:00,853
2025-05-22 00:00:00+00:00,854
2025-05-29 00:00:00+00:00,857
2025-06-02 00:00:00+00:00,858
2025-06-04 00:00:00+00:00,859
2025-06-06 00:00:00+00:00,860
2025-06-08 00:00:00+00:00,861
2025-06-10 00:00:00+00:00,862
2025-06-11 00:00:00+00:00,863
2025-06-12 00:00:00+00:00,864
2025-06-16 00:00:00+00:00,867
2025-06-19 00:00:00+00:00,868
2025-06-23 00:00:00+00:00,869
2025-06-24 00:00:00+00:00,870
2025-06-29 00:00:00+00:00,872
2025-06-30 00:00:00+00:00,873
2025-07-01 00:00:00+00:00,875
2025-07-03 00:00:00+00:00,876
2025-07-07 00:00:00+00:00,877
2025-07-08 00:00:00+00:00,878
2025-07-10 00:00:00+00:00,880
2025-07-11 00:00:00+00:00,881
2025-07-15 00:00:00+00:00,882
2025-08-06 00:00:00+00:00,883
2025-08-13 00:00:00+00:00,884
2025-08-19 00:00:00+00:00,885
2025-08-21 00:00:00+00:00,886
2025-08-26 00:00:00+00:00,888
2025-08-27 00:00:00+00:00,889
2025-08-29 00:00:00+00:00,890
2025-09-01 00:00:00+00:00,891
2025-09-08 00:00:00+00:00,892
2025-09-09 00:00:00+00:00,893
2025-09-16 00:00:00+00:00,894
2025-09-27 00:00:00+00:00,895
2025-09-30 00:00:00+00:00,896
2025-10-03 00:00:00+00:00,897
2025-10-06 00:00:00+00:00,898
2025-10-08 00:00:00+00:00,899
2025-10-14 00:00:00+00:00,900
2025-10-15 00:00:00+00:00,901
2025-10-20 00:00:00+00:00,902
2025-10-21 00:00:00+00:00,903
2025-10-23 00:00:00+00:00,906
2025-10-24 00:00:00+00:00,908
2025-10-27 00:00:00+00:00,909
2025-10-29 00:00:00+00:00,910
2025-11-03 00:00:00+00:00,911
2025-11-07 00:00:00+00:00,912
2025-11-08 00:00:00+00:00,913
2025-11-11 00:00:00+00:00,914
2025-11-12 00:00:00+00:00,916
2025-11-13 00:00:00+00:00,917
2025-11-19 00:00:00+00:00,918
2025-11-21 00:00:00+00:00,919
2025-11-26 00:00:00+00:00,921
2025-11-28 00:00:00+00:00,922
2025-12-10 00:00:00+00:00,923
2025-12-11 00:00:00+00:00,924
2025-12-12 00:00:00+00:00,925
2025-12-14 00:00:00+00:00,927
2025-12-15 00:00:00+00:00,928
2025-12-19 00:00:00+00:00,929
2025-12-20 00:00:00+00:00,930
2025-12-22 00:00:00+00:00,932
2025-12-23 00:00:00+00:00,934
2025-12-27 00:00:00+00:00,935
2025-12-28 00:00:00+00:00,936
2025-12-30 00:00:00+00:00,938
2025-12-31 00:00:00+00:00,939
2026-01-03 00:00:00+00:00,940
2026-01-04 00:00:00+00:00,941
2026-01-06 00:00:00+00:00,943
2026-01-09 00:00:00+00:00,944
2026-01-12 00:00:00+00:00,945
2026-01-15 00:00:00+00:00,946
2026-01-18 00:00:00+00:00,948
2026-01-20 00:00:00+00:00,949
2026-01-26 00:00:00+00:00,950
2026-01-27 00:00:00+00:00,951
2026-01-29 00:00:00+00:00,952
2026-01-31 00:00:00+00:00,953
2026-02-01 00:00:00+00:00,955
2026-02-02 00:00:00+00:00,956
2026-02-04 00:00:00+00:00,957
2026-02-09 00:00:00+00:00,959
2026-02-10 00:00:00+00:00,960
2026-02-12 00:00:00+00:00,961
2026-02-19 00:00:00+00:00,962
2026-02-20 00:00:00+00:00,963
